fired_at_utc,alert,service,severity,duration_min,acked_by,resolution
2024-03-21 17:48,HighP95Latency,search-indexer,warning,3,dana.r,config fix deployed
2024-03-24 03:17,ErrorRateAboveSLO,edge-proxy,critical,55,lena.v,silenced during maintenance
2024-03-27 19:25,ReplicationLagHigh,payments-api,warning,95,marcus.t,scaled up replicas
2024-04-04 01:09,QueueDepthGrowing,auth-svc,warning,30,priya.k,escalated to secondary
2024-04-08 06:15,QueueDepthGrowing,rate-limiter,warning,30,huy.n,false positive - tuned threshold
2024-04-12 20:12,ReplicationLagHigh,rate-limiter,warning,12,marcus.t,false positive - tuned threshold
2024-04-14 19:46,QueueDepthGrowing,reporting-api,warning,55,huy.n,config fix deployed
2024-04-15 10:14,HighP95Latency,edge-proxy,warning,95,huy.n,scaled up replicas
2024-04-16 11:56,PodCrashLooping,cron-runner,critical,41,priya.k,partner notified
2024-04-19 05:36,RateLimiterSaturation,notification-svc,critical,5,marcus.t,false positive - tuned threshold
2024-04-19 23:54,HighP95Latency,cron-runner,warning,55,lena.v,false positive - tuned threshold
2024-04-20 07:37,QueueDepthGrowing,search-indexer,warning,55,marcus.t,auto-resolved
2024-04-21 06:16,HighP95Latency,auth-svc,warning,30,lena.v,runbook applied
2024-04-23 20:54,DiskPressure,billing-worker,warning,95,marcus.t,ticket filed
2024-04-27 15:17,BackupMissed,payments-api,critical,5,dana.r,auto-resolved
2024-04-28 04:39,RateLimiterSaturation,search-indexer,critical,5,huy.n,runbook applied
2024-05-01 17:47,BackupMissed,auth-svc,critical,3,dana.r,false positive - tuned threshold
2024-05-02 07:53,CertExpiresSoon,rate-limiter,info,3,huy.n,partner notified
2024-05-05 01:00,RedisMemoryHigh,partner-gateway,warning,8,huy.n,deploy rolled back
2024-05-08 05:34,CertExpiresSoon,search-indexer,info,55,sam.o,config fix deployed
2024-05-10 07:52,ErrorRateAboveSLO,webhook-dispatch,critical,3,priya.k,deploy rolled back
2024-05-13 02:51,RateLimiterSaturation,webhook-dispatch,critical,55,marcus.t,ticket filed
2024-05-15 23:55,PodCrashLooping,webhook-dispatch,critical,8,lena.v,runbook applied
2024-05-17 02:57,PodCrashLooping,partner-gateway,critical,41,sam.o,config fix deployed
2024-05-19 10:58,PodCrashLooping,notification-svc,critical,12,lena.v,config fix deployed
2024-05-23 10:10,CertExpiresSoon,billing-worker,info,95,sam.o,runbook applied
2024-05-25 12:27,QueueDepthGrowing,payments-api,warning,3,dana.r,config fix deployed
2024-05-27 16:00,CertExpiresSoon,notification-svc,info,70,lena.v,escalated to secondary
2024-05-28 21:27,QueueDepthGrowing,edge-proxy,warning,30,huy.n,escalated to secondary
2024-06-03 14:33,ErrorRateAboveSLO,edge-proxy,critical,8,dana.r,partner notified
2024-06-05 08:13,ErrorRateAboveSLO,rate-limiter,critical,5,dana.r,auto-resolved
2024-06-08 11:22,BackupMissed,reporting-api,critical,3,dana.r,auto-resolved
2024-06-09 18:41,ReplicationLagHigh,search-indexer,warning,30,priya.k,scaled up replicas
2024-06-10 17:53,HighP95Latency,notification-svc,warning,30,sam.o,auto-resolved
2024-06-14 19:22,DiskPressure,payments-api,warning,5,lena.v,scaled up replicas
2024-06-15 13:04,RedisMemoryHigh,notification-svc,warning,15,lena.v,partner notified
2024-06-18 03:02,CertExpiresSoon,notification-svc,info,95,priya.k,config fix deployed
2024-06-21 23:59,BackupMissed,rate-limiter,critical,22,lena.v,ticket filed
2024-06-22 13:29,CertExpiresSoon,edge-proxy,info,15,lena.v,config fix deployed
2024-06-25 03:57,BackupMissed,payments-api,critical,41,huy.n,runbook applied
2024-06-27 13:34,HighP95Latency,edge-proxy,warning,3,marcus.t,false positive - tuned threshold
2024-07-02 00:15,ReplicationLagHigh,rate-limiter,warning,41,lena.v,runbook applied
2024-07-04 14:19,BackupMissed,search-indexer,critical,95,priya.k,silenced during maintenance
2024-07-05 11:55,CertExpiresSoon,search-indexer,info,3,sam.o,false positive - tuned threshold
2024-07-06 05:25,RateLimiterSaturation,reporting-api,critical,5,marcus.t,escalated to secondary
2024-07-08 12:00,BackupMissed,auth-svc,critical,41,lena.v,false positive - tuned threshold
2024-07-09 15:37,PodCrashLooping,rate-limiter,critical,15,sam.o,escalated to secondary
2024-07-11 23:25,DiskPressure,billing-worker,warning,5,marcus.t,runbook applied
2024-07-14 12:07,QueueDepthGrowing,search-indexer,warning,70,dana.r,scaled up replicas
2024-07-15 15:40,RedisMemoryHigh,edge-proxy,warning,3,priya.k,auto-resolved
2024-07-18 05:38,RateLimiterSaturation,auth-svc,critical,12,dana.r,deploy rolled back
2024-07-21 11:31,CertExpiresSoon,payments-api,info,30,lena.v,false positive - tuned threshold
2024-07-24 15:23,RateLimiterSaturation,edge-proxy,critical,15,sam.o,false positive - tuned threshold
2024-07-26 19:51,QueueDepthGrowing,auth-svc,warning,3,priya.k,escalated to secondary
2024-08-03 16:39,PodCrashLooping,partner-gateway,critical,22,marcus.t,silenced during maintenance
2024-08-06 09:12,PodCrashLooping,rate-limiter,critical,70,huy.n,escalated to secondary
2024-08-09 11:56,ReplicationLagHigh,webhook-dispatch,warning,41,huy.n,runbook applied
2024-08-12 09:42,RateLimiterSaturation,webhook-dispatch,critical,41,marcus.t,false positive - tuned threshold
2024-08-12 10:28,RateLimiterSaturation,cron-runner,critical,55,marcus.t,scaled up replicas
2024-08-13 15:31,BackupMissed,webhook-dispatch,critical,5,dana.r,deploy rolled back
2024-08-13 19:49,RedisMemoryHigh,notification-svc,warning,70,priya.k,scaled up replicas
2024-08-14 23:59,DiskPressure,edge-proxy,warning,15,dana.r,silenced during maintenance
2024-08-17 18:11,ReplicationLagHigh,partner-gateway,warning,30,marcus.t,partner notified
2024-08-18 02:14,HighP95Latency,webhook-dispatch,warning,70,priya.k,partner notified
2024-08-22 07:57,HighP95Latency,payments-api,warning,55,dana.r,deploy rolled back
2024-08-24 03:11,CertExpiresSoon,rate-limiter,info,22,sam.o,silenced during maintenance
2024-08-28 07:14,ErrorRateAboveSLO,notification-svc,critical,5,priya.k,silenced during maintenance
2024-09-04 13:40,HighP95Latency,search-indexer,warning,41,sam.o,config fix deployed
2024-09-08 02:51,PodCrashLooping,payments-api,critical,95,sam.o,deploy rolled back
2024-09-10 18:54,DiskPressure,search-indexer,warning,5,priya.k,silenced during maintenance
2024-09-13 15:18,CertExpiresSoon,partner-gateway,info,41,huy.n,runbook applied
2024-09-16 02:21,DiskPressure,notification-svc,warning,41,lena.v,deploy rolled back
2024-09-17 02:12,HighP95Latency,billing-worker,warning,5,marcus.t,deploy rolled back
2024-09-17 02:48,HighP95Latency,notification-svc,warning,15,sam.o,runbook applied
2024-09-18 14:17,RedisMemoryHigh,notification-svc,warning,70,huy.n,runbook applied
2024-09-19 12:22,HighP95Latency,notification-svc,warning,22,lena.v,deploy rolled back
2024-09-23 09:25,RateLimiterSaturation,billing-worker,critical,3,lena.v,partner notified
2024-09-26 14:42,ErrorRateAboveSLO,payments-api,critical,12,huy.n,auto-resolved
2024-09-28 22:02,BackupMissed,cron-runner,critical,8,sam.o,ticket filed
2024-10-01 17:32,QueueDepthGrowing,rate-limiter,warning,70,huy.n,runbook applied
2024-10-03 23:05,RateLimiterSaturation,feature-flags,critical,41,sam.o,scaled up replicas
2024-10-04 07:30,RedisMemoryHigh,reporting-api,warning,55,marcus.t,runbook applied
2024-10-08 17:20,QueueDepthGrowing,partner-gateway,warning,70,marcus.t,scaled up replicas
2024-10-12 19:16,CertExpiresSoon,feature-flags,info,30,dana.r,silenced during maintenance
2024-10-15 14:24,RateLimiterSaturation,webhook-dispatch,critical,70,huy.n,auto-resolved
2024-10-18 17:32,ErrorRateAboveSLO,webhook-dispatch,critical,22,marcus.t,ticket filed
2024-10-19 02:31,RedisMemoryHigh,cron-runner,warning,8,huy.n,scaled up replicas
2024-10-20 09:25,RateLimiterSaturation,rate-limiter,critical,30,sam.o,partner notified
2024-10-21 18:04,ReplicationLagHigh,webhook-dispatch,warning,55,huy.n,partner notified
2024-10-22 22:06,DiskPressure,notification-svc,warning,41,marcus.t,auto-resolved
2024-10-23 20:12,ErrorRateAboveSLO,search-indexer,critical,5,huy.n,false positive - tuned threshold
2024-10-25 15:06,BackupMissed,payments-api,critical,12,dana.r,auto-resolved
2024-11-01 09:21,PodCrashLooping,notification-svc,critical,3,sam.o,ticket filed
2024-11-05 08:38,DiskPressure,search-indexer,warning,12,sam.o,partner notified
2024-11-06 02:10,CertExpiresSoon,webhook-dispatch,info,15,marcus.t,deploy rolled back
2024-11-07 18:54,ErrorRateAboveSLO,payments-api,critical,15,marcus.t,deploy rolled back
2024-11-11 20:50,HighP95Latency,feature-flags,warning,55,lena.v,config fix deployed
2024-11-13 05:06,CertExpiresSoon,search-indexer,info,3,huy.n,silenced during maintenance
2024-11-14 08:06,CertExpiresSoon,payments-api,info,12,lena.v,silenced during maintenance
2024-11-15 22:58,DiskPressure,billing-worker,warning,41,lena.v,scaled up replicas
2024-11-18 13:44,HighP95Latency,billing-worker,warning,30,sam.o,scaled up replicas
2024-11-19 17:11,BackupMissed,partner-gateway,critical,55,dana.r,false positive - tuned threshold
2024-11-22 21:22,DiskPressure,feature-flags,warning,15,huy.n,config fix deployed
2024-11-24 08:43,HighP95Latency,rate-limiter,warning,15,lena.v,runbook applied
2024-11-25 21:49,BackupMissed,billing-worker,critical,3,huy.n,escalated to secondary
2024-12-02 05:59,RedisMemoryHigh,auth-svc,warning,22,lena.v,auto-resolved
2024-12-06 07:20,HighP95Latency,webhook-dispatch,warning,15,priya.k,auto-resolved
2024-12-08 12:00,PodCrashLooping,webhook-dispatch,critical,15,dana.r,scaled up replicas
2024-12-09 10:18,BackupMissed,payments-api,critical,5,sam.o,false positive - tuned threshold
2024-12-12 23:16,ErrorRateAboveSLO,edge-proxy,critical,30,huy.n,scaled up replicas
2024-12-16 22:11,QueueDepthGrowing,billing-worker,warning,70,sam.o,deploy rolled back
2024-12-20 04:27,RateLimiterSaturation,edge-proxy,critical,8,dana.r,runbook applied
2024-12-21 04:08,CertExpiresSoon,webhook-dispatch,info,15,dana.r,partner notified
2024-12-22 07:09,ReplicationLagHigh,notification-svc,warning,30,dana.r,scaled up replicas
2024-12-23 01:41,BackupMissed,webhook-dispatch,critical,70,lena.v,silenced during maintenance
2024-12-24 19:48,PodCrashLooping,rate-limiter,critical,95,lena.v,partner notified
2024-12-28 10:37,BackupMissed,feature-flags,critical,41,dana.r,config fix deployed
