date,service,requests_m,error_rate_pct,p95_ms,cpu_pct
2024-01-10,notification-svc,9.94,0.22,118,43
2024-01-10,partner-gateway,1.98,0.18,216,47
2024-01-10,rate-limiter,24.52,0.26,234,44
2024-01-10,edge-proxy,11.88,0.2,157,7
2024-01-10,reporting-api,22.66,0.23,82,41
2024-01-10,feature-flags,2.43,0.19,131,36
2024-01-10,cron-runner,14.39,0.18,230,44
2024-01-10,webhook-dispatch,9.72,0.21,230,38
2024-01-11,payments-api,24.4,0.13,149,26
2024-01-11,auth-svc,12.89,0.15,117,48
2024-01-11,search-indexer,3.8,0.16,88,14
2024-01-11,billing-worker,12.61,0.17,174,30
2024-01-11,notification-svc,8.08,0.24,117,18
2024-01-11,partner-gateway,1.69,0.24,194,49
2024-01-11,rate-limiter,24.22,0.23,224,42
2024-01-11,edge-proxy,10.59,0.07,183,50
2024-01-11,reporting-api,20.4,0.1,86,28
2024-01-11,feature-flags,1.88,0.15,121,45
2024-01-11,cron-runner,13.93,0.18,234,42
2024-01-11,webhook-dispatch,8.92,0.14,232,43
2024-01-12,payments-api,20.26,0.18,141,67
2024-01-12,auth-svc,10.36,0.16,137,44
2024-01-12,search-indexer,3.1,0.33,84,33
2024-01-12,billing-worker,10.98,0.23,165,25
2024-01-12,notification-svc,6.69,0.11,113,43
2024-01-12,partner-gateway,1.45,0.09,211,28
2024-01-12,rate-limiter,17.95,0.2,210,33
2024-01-12,edge-proxy,9.5,0.23,176,39
2024-01-12,reporting-api,15.74,0.14,90,39
2024-01-12,feature-flags,1.62,0.26,131,41
2024-01-12,cron-runner,10.89,0.24,240,31
2024-01-12,webhook-dispatch,7.56,0.18,232,41
2024-01-13,payments-api,15.71,0.15,152,57
2024-01-13,auth-svc,8.23,0.04,141,33
2024-01-13,search-indexer,2.49,0.22,86,44
2024-01-13,billing-worker,8.9,0.16,167,35
2024-01-13,notification-svc,6.05,0.25,104,37
2024-01-13,partner-gateway,1.13,0.11,212,41
2024-01-13,rate-limiter,16.07,0.3,205,34
2024-01-13,edge-proxy,8.24,0.01,164,38
2024-01-13,reporting-api,12.53,0.13,89,39
2024-01-13,feature-flags,1.44,0.07,133,31
2024-01-13,cron-runner,8.88,0.24,226,37
2024-01-13,webhook-dispatch,6.14,0.15,223,34
2024-01-14,payments-api,18.23,0.2,169,45
2024-01-14,auth-svc,9.38,0.01,129,48
2024-01-14,search-indexer,2.87,0.23,84,39
2024-01-14,billing-worker,9.97,0.19,153,48
2024-01-14,notification-svc,5.85,0.13,116,48
2024-01-14,partner-gateway,1.33,0.17,186,14
2024-01-14,rate-limiter,16.46,0.36,211,26
2024-01-14,edge-proxy,8.24,0.12,147,41
2024-01-14,reporting-api,14.22,0.34,82,40
2024-01-14,feature-flags,1.48,0.12,126,49
2024-01-14,cron-runner,9.53,0.23,215,45
2024-01-14,webhook-dispatch,6.95,0.18,231,24
2024-01-15,payments-api,21.06,0.37,143,39
2024-01-15,auth-svc,11.33,0.24,129,55
2024-01-15,search-indexer,3.81,0.38,94,33
2024-01-15,billing-worker,11.17,0.14,162,42
2024-01-15,notification-svc,7.66,0.13,120,34
2024-01-15,partner-gateway,1.6,0.22,215,21
2024-01-15,rate-limiter,19.95,0.12,209,43
2024-01-15,edge-proxy,9.76,0.27,184,37
2024-01-15,reporting-api,18.12,0.28,85,31
2024-01-15,feature-flags,1.87,0.01,129,46
2024-01-15,cron-runner,11.03,0.14,224,50
2024-01-15,webhook-dispatch,8.0,0.28,207,30
2024-01-16,payments-api,27.73,0.24,164,16
2024-01-16,auth-svc,12.92,0.11,125,43
2024-01-16,search-indexer,4.28,0.26,105,35
2024-01-16,billing-worker,13.66,0.08,153,27
2024-01-16,notification-svc,10.02,0.17,111,35
2024-01-16,partner-gateway,2.05,0.2,220,27
2024-01-16,rate-limiter,23.27,0.06,238,28
2024-01-16,edge-proxy,12.16,0.18,165,47
2024-01-16,reporting-api,20.31,0.13,89,38
2024-01-16,feature-flags,2.17,0.14,115,68
2024-01-16,cron-runner,13.22,0.16,219,54
2024-01-16,webhook-dispatch,10.29,0.18,228,39
2024-01-17,payments-api,28.63,0.24,153,26
2024-01-17,auth-svc,12.99,0.11,112,41
2024-01-17,search-indexer,4.17,0.36,99,32
2024-01-17,billing-worker,15.6,0.17,157,47
2024-01-17,notification-svc,9.78,0.18,115,29
2024-01-17,partner-gateway,1.9,0.1,236,48
2024-01-17,rate-limiter,25.05,0.14,192,51
2024-01-17,edge-proxy,13.86,0.32,180,27
2024-01-17,reporting-api,20.59,0.19,84,37
2024-01-17,feature-flags,2.36,0.29,132,25
2024-01-17,cron-runner,14.93,0.01,213,30
2024-01-17,webhook-dispatch,10.1,0.19,199,43
2024-01-18,payments-api,26.54,0.1,159,43
2024-01-18,auth-svc,12.61,0.27,137,58
2024-01-18,search-indexer,3.7,0.14,104,46
2024-01-18,billing-worker,13.32,0.25,172,49
2024-01-18,notification-svc,9.23,0.2,111,32
2024-01-18,partner-gateway,1.9,0.21,196,16
2024-01-18,rate-limiter,21.45,0.31,215,51
2024-01-18,edge-proxy,10.92,0.18,169,53
2024-01-18,reporting-api,19.76,0.01,80,42
2024-01-18,feature-flags,1.91,0.11,139,57
2024-01-18,cron-runner,12.14,0.05,245,31
2024-01-18,webhook-dispatch,8.95,0.22,200,31
2024-01-19,payments-api,18.26,0.25,161,40
2024-01-19,auth-svc,10.38,0.01,121,26
2024-01-19,search-indexer,3.35,0.14,99,48
2024-01-19,billing-worker,10.99,0.2,143,26
2024-01-19,notification-svc,7.44,0.2,102,22
2024-01-19,partner-gateway,1.35,0.03,222,51
2024-01-19,rate-limiter,18.9,0.16,202,43
2024-01-19,edge-proxy,9.44,0.13,152,53
2024-01-19,reporting-api,14.64,0.11,88,41
2024-01-19,feature-flags,1.6,0.07,128,21
2024-01-19,cron-runner,10.46,0.19,203,46
2024-01-19,webhook-dispatch,6.61,0.16,234,30
2024-01-20,payments-api,16.34,0.16,162,15
2024-01-20,auth-svc,7.85,0.15,123,39
2024-01-20,search-indexer,2.55,0.33,85,42
2024-01-20,billing-worker,8.54,0.23,155,46
2024-01-20,notification-svc,6.43,0.2,103,51
2024-01-20,partner-gateway,1.26,0.17,193,32
2024-01-20,rate-limiter,15.17,0.26,238,43
2024-01-20,edge-proxy,7.65,0.22,181,60
2024-01-20,reporting-api,13.56,0.04,79,57
2024-01-20,feature-flags,1.36,0.22,137,45
2024-01-20,cron-runner,9.39,0.3,223,41
2024-01-20,webhook-dispatch,6.22,0.24,217,39
2024-01-21,payments-api,18.37,0.2,162,13
2024-01-21,auth-svc,9.38,0.36,135,38
2024-01-21,search-indexer,3.09,0.23,86,33
2024-01-21,billing-worker,10.05,0.07,147,61
2024-01-21,notification-svc,6.61,0.24,114,22
2024-01-21,partner-gateway,1.21,0.17,211,64
2024-01-21,rate-limiter,15.85,0.15,233,33
2024-01-21,edge-proxy,8.39,0.06,169,29
2024-01-21,reporting-api,15.07,0.23,95,48
2024-01-21,feature-flags,1.52,0.08,139,58
2024-01-21,cron-runner,9.54,0.4,241,32
2024-01-21,webhook-dispatch,6.69,0.24,203,43
2024-01-22,payments-api,22.78,0.21,173,35
2024-01-22,auth-svc,10.08,0.11,128,20
2024-01-22,search-indexer,3.6,0.21,84,36
2024-01-22,billing-worker,12.08,0.29,176,37
2024-01-22,notification-svc,7.51,0.01,126,18
2024-01-22,partner-gateway,1.68,0.24,185,31
2024-01-22,rate-limiter,20.49,0.08,217,26
2024-01-22,edge-proxy,9.58,0.21,178,33
2024-01-22,reporting-api,17.32,0.32,96,37
2024-01-22,feature-flags,1.8,0.15,122,37
2024-01-22,cron-runner,11.11,0.16,206,31
2024-01-22,webhook-dispatch,7.6,0.25,235,42
2024-01-23,payments-api,26.33,0.17,160,49
2024-01-23,auth-svc,14.08,0.16,132,28
2024-01-23,search-indexer,4.27,0.01,92,40
2024-01-23,billing-worker,14.51,0.21,166,46
2024-01-23,notification-svc,9.14,0.12,122,35
2024-01-23,partner-gateway,2.02,0.38,194,28
2024-01-23,rate-limiter,23.24,0.22,191,44
2024-01-23,edge-proxy,11.95,0.11,149,36
2024-01-23,reporting-api,21.25,0.18,99,41
2024-01-23,feature-flags,2.17,0.12,125,34
2024-01-23,cron-runner,14.19,0.13,219,12
2024-01-23,webhook-dispatch,10.33,0.22,247,27
2024-01-24,payments-api,27.27,0.27,166,47
2024-01-24,auth-svc,14.3,0.13,114,34
2024-01-24,search-indexer,4.41,0.28,105,40
2024-01-24,billing-worker,14.13,0.08,155,34
2024-01-24,notification-svc,9.29,0.17,116,32
2024-01-24,partner-gateway,1.87,0.26,217,23
2024-01-24,rate-limiter,25.11,0.09,220,33
2024-01-24,edge-proxy,13.54,0.29,171,50
2024-01-24,reporting-api,20.55,0.07,92,40
2024-01-24,feature-flags,2.23,0.41,125,45
2024-01-24,cron-runner,15.44,0.12,214,52
2024-01-24,webhook-dispatch,9.71,0.01,238,39
2024-01-25,payments-api,25.1,0.08,154,46
2024-01-25,auth-svc,12.01,0.26,139,34
2024-01-25,search-indexer,4.2,0.16,93,25
2024-01-25,billing-worker,12.04,0.3,159,19
2024-01-25,notification-svc,8.15,0.22,112,42
2024-01-25,partner-gateway,1.82,0.3,192,49
2024-01-25,rate-limiter,23.41,0.24,195,45
2024-01-25,edge-proxy,11.76,0.21,162,40
2024-01-25,reporting-api,18.65,0.2,86,41
2024-01-25,feature-flags,2.12,0.38,121,47
2024-01-25,cron-runner,12.33,0.11,224,33
2024-01-25,webhook-dispatch,8.98,0.26,242,32
2024-01-26,payments-api,19.89,0.15,154,44
2024-01-26,auth-svc,9.37,0.11,115,42
2024-01-26,search-indexer,3.4,0.13,101,54
2024-01-26,billing-worker,10.71,0.1,145,48
2024-01-26,notification-svc,7.56,0.21,124,35
2024-01-26,partner-gateway,1.37,0.26,217,47
2024-01-26,rate-limiter,18.26,0.34,206,30
2024-01-26,edge-proxy,9.26,0.2,152,47
2024-01-26,reporting-api,15.84,0.3,82,31
2024-01-26,feature-flags,1.7,0.31,134,47
2024-01-26,cron-runner,11.22,0.24,242,37
2024-01-26,webhook-dispatch,7.61,0.29,206,46
2024-01-27,payments-api,16.82,0.3,171,50
2024-01-27,auth-svc,7.74,0.11,130,32
2024-01-27,search-indexer,2.75,0.07,85,47
2024-01-27,billing-worker,8.62,0.16,144,38
2024-01-27,notification-svc,6.29,0.01,120,25
2024-01-27,partner-gateway,1.16,0.21,235,46
2024-01-27,rate-limiter,16.91,0.06,238,4
2024-01-27,edge-proxy,8.18,0.27,178,41
2024-01-27,reporting-api,13.55,0.27,83,21
2024-01-27,feature-flags,1.44,0.09,113,49
2024-01-27,cron-runner,9.04,0.22,245,34
2024-01-27,webhook-dispatch,5.8,0.11,251,41
2024-01-28,payments-api,19.06,0.18,175,14
2024-01-28,auth-svc,8.93,0.14,125,29
2024-01-28,search-indexer,2.9,0.12,90,43
2024-01-28,billing-worker,8.8,0.16,161,48
2024-01-28,notification-svc,6.25,0.25,117,27
2024-01-28,partner-gateway,1.32,0.27,229,56
2024-01-28,rate-limiter,17.68,0.24,190,7
2024-01-28,edge-proxy,8.81,0.36,182,69
2024-01-28,reporting-api,14.42,0.22,78,44
2024-01-28,feature-flags,1.47,0.22,131,37
2024-01-28,cron-runner,10.01,0.03,246,31
2024-01-28,webhook-dispatch,6.78,0.28,205,36
2024-01-29,payments-api,21.09,0.08,177,63
2024-01-29,auth-svc,10.81,0.06,130,30
2024-01-29,search-indexer,3.46,0.1,96,41
2024-01-29,billing-worker,11.83,0.1,174,46
2024-01-29,notification-svc,8.34,0.01,116,31
2024-01-29,partner-gateway,1.59,0.26,186,24
2024-01-29,rate-limiter,19.25,0.24,226,42
2024-01-29,edge-proxy,10.72,0.06,171,41
2024-01-29,reporting-api,16.89,0.1,80,49
2024-01-29,feature-flags,1.99,0.32,111,55
2024-01-29,cron-runner,12.58,0.13,207,21
2024-01-29,webhook-dispatch,8.02,0.26,203,25
2024-01-30,payments-api,27.81,0.11,157,39
2024-01-30,auth-svc,12.58,0.22,117,43
2024-01-30,search-indexer,4.52,0.17,99,29
2024-01-30,billing-worker,14.22,0.12,158,36
2024-01-30,notification-svc,9.25,0.24,122,27
2024-01-30,partner-gateway,1.83,0.2,234,53
2024-01-30,rate-limiter,24.23,0.3,213,33
2024-01-30,edge-proxy,12.05,0.23,162,41
2024-01-30,reporting-api,19.72,0.23,91,42
2024-01-30,feature-flags,2.34,0.14,136,35
2024-01-30,cron-runner,13.21,0.24,194,29
2024-01-30,webhook-dispatch,9.34,0.29,219,23
2024-01-31,payments-api,26.65,0.14,174,31
2024-01-31,auth-svc,14.42,0.28,128,52
2024-01-31,search-indexer,4.38,0.01,87,59
2024-01-31,billing-worker,14.74,0.3,151,52
2024-01-31,notification-svc,9.48,0.25,109,62
2024-01-31,partner-gateway,2.12,0.17,226,40
2024-01-31,rate-limiter,27.88,0.26,224,39
2024-01-31,edge-proxy,12.42,0.14,165,31
2024-01-31,reporting-api,21.42,0.18,82,44
2024-01-31,feature-flags,2.43,0.16,139,34
2024-01-31,cron-runner,14.13,0.07,196,39
2024-01-31,webhook-dispatch,10.9,0.29,203,35
2024-02-01,payments-api,26.06,0.11,161,51
2024-02-01,auth-svc,13.15,0.09,120,25
2024-02-01,search-indexer,4.13,0.09,104,30
2024-02-01,billing-worker,12.87,0.25,150,48
2024-02-01,notification-svc,9.55,0.24,110,52
2024-02-01,partner-gateway,1.91,0.13,223,42
2024-02-01,rate-limiter,22.67,0.13,228,33
2024-02-01,edge-proxy,11.23,0.26,157,40
2024-02-01,reporting-api,19.1,0.21,98,51
2024-02-01,feature-flags,2.09,0.28,116,47
2024-02-01,cron-runner,13.86,0.07,206,29
2024-02-01,webhook-dispatch,9.34,0.18,240,33
2024-02-02,payments-api,20.62,0.28,144,32
2024-02-02,auth-svc,9.84,0.04,132,26
2024-02-02,search-indexer,3.31,0.4,105,57
2024-02-02,billing-worker,10.61,0.09,180,48
2024-02-02,notification-svc,6.87,0.24,121,43
2024-02-02,partner-gateway,1.36,0.2,236,33
2024-02-02,rate-limiter,19.24,0.2,193,23
2024-02-02,edge-proxy,9.11,0.14,173,22
2024-02-02,reporting-api,15.98,0.2,88,35
2024-02-02,feature-flags,1.76,0.19,133,75
2024-02-02,cron-runner,10.13,0.24,232,16
2024-02-02,webhook-dispatch,6.87,0.17,247,33
2024-02-03,payments-api,17.93,0.04,165,43
2024-02-03,auth-svc,8.39,0.26,138,58
2024-02-03,search-indexer,2.63,0.32,94,36
2024-02-03,billing-worker,8.56,0.3,167,45
2024-02-03,notification-svc,6.12,0.26,105,21
2024-02-03,partner-gateway,1.2,0.02,209,47
2024-02-03,rate-limiter,16.62,0.2,217,49
2024-02-03,edge-proxy,7.57,0.3,169,39
2024-02-03,reporting-api,14.42,0.24,100,25
2024-02-03,feature-flags,1.49,0.14,123,18
2024-02-03,cron-runner,9.08,0.06,214,18
2024-02-03,webhook-dispatch,6.21,0.3,226,38
2024-02-04,payments-api,18.76,0.07,174,43
2024-02-04,auth-svc,8.47,0.23,129,33
2024-02-04,search-indexer,3.05,0.39,104,35
2024-02-04,billing-worker,9.0,0.16,155,44
2024-02-04,notification-svc,6.57,0.07,121,38
2024-02-04,partner-gateway,1.2,0.16,198,39
2024-02-04,rate-limiter,16.47,0.18,236,42
2024-02-04,edge-proxy,8.21,0.17,145,41
2024-02-04,reporting-api,14.39,0.24,92,45
2024-02-04,feature-flags,1.4,0.08,128,16
2024-02-04,cron-runner,9.48,0.09,198,39
2024-02-04,webhook-dispatch,6.65,0.01,197,48
2024-02-05,payments-api,23.66,0.34,167,38
2024-02-05,auth-svc,10.65,0.16,140,52
2024-02-05,search-indexer,3.83,0.16,100,36
2024-02-05,billing-worker,11.41,0.16,177,38
2024-02-05,notification-svc,7.64,0.04,119,34
2024-02-05,partner-gateway,1.55,0.21,199,51
2024-02-05,rate-limiter,20.49,0.09,233,58
2024-02-05,edge-proxy,10.71,0.13,178,49
2024-02-05,reporting-api,18.34,0.44,99,30
2024-02-05,feature-flags,1.77,0.24,111,28
2024-02-05,cron-runner,12.36,0.2,234,49
2024-02-05,webhook-dispatch,8.28,0.32,215,49
2024-02-06,payments-api,27.95,0.15,146,28
2024-02-06,auth-svc,13.23,0.16,139,42
2024-02-06,search-indexer,4.02,0.15,104,28
2024-02-06,billing-worker,14.17,0.25,178,39
2024-02-06,notification-svc,10.02,0.13,116,33
2024-02-06,partner-gateway,1.98,0.2,200,55
2024-02-06,rate-limiter,25.31,0.34,239,26
2024-02-06,edge-proxy,12.12,0.13,174,47
2024-02-06,reporting-api,22.71,0.23,94,33
2024-02-06,feature-flags,2.24,0.16,128,44
2024-02-06,cron-runner,13.43,0.23,233,39
2024-02-06,webhook-dispatch,9.65,0.36,211,27
2024-02-07,payments-api,28.88,0.18,143,49
2024-02-07,auth-svc,14.0,0.2,111,21
2024-02-07,search-indexer,4.37,0.22,90,37
2024-02-07,billing-worker,15.65,0.03,172,24
2024-02-07,notification-svc,10.7,0.2,105,49
2024-02-07,partner-gateway,1.88,0.13,229,51
2024-02-07,rate-limiter,26.02,0.15,200,36
2024-02-07,edge-proxy,12.5,0.15,164,32
2024-02-07,reporting-api,22.65,0.01,90,35
2024-02-07,feature-flags,2.21,0.28,120,43
2024-02-07,cron-runner,13.87,0.01,201,26
2024-02-07,webhook-dispatch,10.08,0.1,228,38
2024-02-08,payments-api,23.42,0.22,157,42
2024-02-08,auth-svc,12.57,0.32,138,51
2024-02-08,search-indexer,4.16,0.21,100,41
2024-02-08,billing-worker,13.28,0.13,173,43
2024-02-08,notification-svc,8.63,0.17,108,52
2024-02-08,partner-gateway,1.78,0.08,223,33
2024-02-08,rate-limiter,24.46,0.35,225,42
2024-02-08,edge-proxy,11.1,0.1,181,15
2024-02-08,reporting-api,19.99,0.1,81,50
2024-02-08,feature-flags,2.17,0.29,128,14
2024-02-08,cron-runner,13.94,0.16,223,36
2024-02-08,webhook-dispatch,8.57,0.21,245,43
2024-02-09,payments-api,19.08,0.12,144,19
2024-02-09,auth-svc,9.58,0.11,137,45
2024-02-09,search-indexer,3.45,0.3,94,51
2024-02-09,billing-worker,10.07,0.16,142,29
2024-02-09,notification-svc,7.23,0.14,102,41
2024-02-09,partner-gateway,1.45,0.12,201,23
2024-02-09,rate-limiter,19.43,0.21,201,43
2024-02-09,edge-proxy,9.95,0.13,164,52
2024-02-09,reporting-api,16.55,0.07,90,51
2024-02-09,feature-flags,1.68,0.1,139,46
2024-02-09,cron-runner,11.37,0.12,206,58
2024-02-09,webhook-dispatch,6.85,0.23,198,32
2024-02-10,payments-api,17.07,0.34,142,24
2024-02-10,auth-svc,8.3,0.26,133,39
2024-02-10,search-indexer,2.61,0.12,89,45
2024-02-10,billing-worker,9.32,0.09,152,42
2024-02-10,notification-svc,5.79,0.27,109,32
2024-02-10,partner-gateway,1.15,0.21,234,41
2024-02-10,rate-limiter,15.83,0.08,196,52
2024-02-10,edge-proxy,8.64,0.16,180,44
2024-02-10,reporting-api,13.3,0.34,87,34
2024-02-10,feature-flags,1.44,0.19,141,16
2024-02-10,cron-runner,8.96,0.12,195,38
2024-02-10,webhook-dispatch,5.78,0.12,223,53
2024-02-11,payments-api,19.14,0.19,165,35
2024-02-11,auth-svc,9.0,0.18,140,59
2024-02-11,search-indexer,3.1,0.45,91,32
2024-02-11,billing-worker,9.84,0.24,169,40
2024-02-11,notification-svc,6.08,0.29,112,32
2024-02-11,partner-gateway,1.36,0.22,189,30
2024-02-11,rate-limiter,15.64,0.04,199,54
2024-02-11,edge-proxy,8.87,0.14,163,40
2024-02-11,reporting-api,14.11,0.14,82,38
2024-02-11,feature-flags,1.47,0.18,113,29
2024-02-11,cron-runner,10.04,0.18,203,40
2024-02-11,webhook-dispatch,7.13,0.3,233,36
2024-02-12,payments-api,22.51,0.31,173,41
2024-02-12,auth-svc,10.81,0.25,114,41
2024-02-12,search-indexer,3.65,0.27,89,32
2024-02-12,billing-worker,12.81,0.14,155,66
2024-02-12,notification-svc,7.76,0.14,110,45
2024-02-12,partner-gateway,1.73,0.1,198,49
2024-02-12,rate-limiter,22.2,0.22,215,23
2024-02-12,edge-proxy,9.91,0.4,162,36
2024-02-12,reporting-api,17.53,0.12,87,51
2024-02-12,feature-flags,1.79,0.33,111,36
2024-02-12,cron-runner,12.86,0.11,235,44
2024-02-12,webhook-dispatch,8.39,0.45,243,38
2024-02-13,payments-api,25.11,0.07,150,48
2024-02-13,auth-svc,14.16,0.29,139,42
2024-02-13,search-indexer,4.33,0.33,103,39
2024-02-13,billing-worker,15.36,0.18,177,29
2024-02-13,notification-svc,9.2,0.25,120,22
2024-02-13,partner-gateway,2.09,0.01,196,36
2024-02-13,rate-limiter,25.13,0.11,224,18
2024-02-13,edge-proxy,12.98,0.01,147,40
2024-02-13,reporting-api,23.17,0.23,90,28
2024-02-13,feature-flags,2.08,0.11,114,55
2024-02-13,cron-runner,14.46,0.16,207,36
2024-02-13,webhook-dispatch,9.73,0.12,207,32
2024-02-14,payments-api,27.61,0.23,145,16
2024-02-14,auth-svc,14.71,0.24,136,32
2024-02-14,search-indexer,4.84,0.11,96,43
2024-02-14,billing-worker,14.75,0.23,143,47
2024-02-14,notification-svc,10.04,0.04,118,22
2024-02-14,partner-gateway,1.98,0.17,232,34
2024-02-14,rate-limiter,26.68,0.22,198,15
2024-02-14,edge-proxy,13.37,0.13,144,51
2024-02-14,reporting-api,21.61,0.09,95,49
2024-02-14,feature-flags,2.45,0.18,111,44
2024-02-14,cron-runner,14.71,0.38,211,61
2024-02-14,webhook-dispatch,10.87,0.15,198,44
2024-02-15,payments-api,23.71,0.15,171,29
2024-02-15,auth-svc,11.68,0.22,131,41
2024-02-15,search-indexer,4.15,0.2,96,43
2024-02-15,billing-worker,12.83,0.15,175,36
2024-02-15,notification-svc,9.32,0.11,113,40
2024-02-15,partner-gateway,1.86,0.09,189,49
2024-02-15,rate-limiter,22.24,0.16,217,48
2024-02-15,edge-proxy,11.99,0.21,172,42
