shipment_id,ship_date,origin,destination,carrier,mode,units,eta,status,delay_days
SHP-230450,2023-04-08,PDX-1,RNO-1,BlueRidge Freight,LTL,924,2023-04-15,delivered,0
SHP-230461,2023-04-09,PDX-1,RNO-1,SwiftParcel,parcel,1878,2023-04-14,delivered,0
SHP-230472,2023-04-16,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1367,2023-05-23,delivered,0
SHP-230483,2023-04-20,PDX-1,RNO-1,SwiftParcel,parcel,2338,2023-04-25,delivered,0
SHP-230494,2023-04-20,Shenzhen CN,PDX-1,Pacific Lane,ocean,459,2023-05-15,delivered,0
SHP-230497,2023-04-22,Shenzhen CN,PDX-1,Pacific Lane,ocean,2033,2023-05-21,delivered,0
SHP-230504,2023-04-24,PDX-1,CMH-1,Pacific Lane,ocean,2421,2023-05-27,delivered,0
SHP-230507,2023-04-25,Hangzhou CN,PDX-1,Pacific Lane,ocean,169,2023-05-26,delivered,0
SHP-230514,2023-04-26,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,924,2023-05-28,delivered,0
SHP-230525,2023-04-26,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1664,2023-05-02,delivered,0
SHP-230528,2023-05-03,PDX-1,RNO-1,BlueRidge Freight,FTL,991,2023-05-09,delivered,0
SHP-230531,2023-05-03,PDX-1,RNO-1,BlueRidge Freight,FTL,2347,2023-05-08,delivered,0
SHP-230538,2023-05-06,Shenzhen CN,PDX-1,Pacific Lane,ocean,2119,2023-06-10,delivered,0
SHP-230549,2023-05-07,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1265,2023-05-11,delivered,0
SHP-230552,2023-05-10,Shenzhen CN,PDX-1,Pacific Lane,ocean,1383,2023-06-06,delivered,0
SHP-230563,2023-05-11,RNO-1,CMH-1,Pacific Lane,ocean,884,2023-06-18,delivered,0
SHP-230570,2023-05-11,PDX-1,CMH-1,BlueRidge Freight,FTL,1759,2023-05-17,delivered,0
SHP-230581,2023-05-17,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1858,2023-06-17,delivered,0
SHP-230592,2023-05-17,PDX-1,CMH-1,BlueRidge Freight,LTL,2541,2023-05-25,delivered,0
SHP-230595,2023-05-21,PDX-1,CMH-1,SwiftParcel,parcel,2302,2023-05-25,delivered,0
SHP-230598,2023-05-22,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1910,2023-05-27,delivered,0
SHP-230605,2023-05-30,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,811,2023-06-11,delivered,0
SHP-230612,2023-06-01,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,94,2023-06-07,delivered,0
SHP-230623,2023-06-02,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,132,2023-07-09,delivered,0
SHP-230634,2023-06-03,PDX-1,RNO-1,SwiftParcel,parcel,2457,2023-06-08,delivered,0
SHP-230641,2023-06-04,RNO-1,CMH-1,BlueRidge Freight,FTL,1731,2023-06-08,delivered,0
SHP-230652,2023-06-05,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,453,2023-06-12,delivered,0
SHP-230663,2023-06-05,RNO-1,CMH-1,Pacific Lane,ocean,796,2023-07-04,delivered,0
SHP-230674,2023-06-07,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,2340,2023-07-08,delivered,0
SHP-230681,2023-06-07,Hangzhou CN,PDX-1,Pacific Lane,ocean,2143,2023-07-16,delivered,0
SHP-230684,2023-06-08,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,734,2023-07-06,delivered,0
SHP-230687,2023-06-08,PDX-1,RNO-1,Pacific Lane,ocean,1919,2023-07-13,delivered,0
SHP-230690,2023-06-09,PDX-1,RNO-1,SwiftParcel,parcel,1836,2023-06-12,delivered,0
SHP-230693,2023-06-10,Hangzhou CN,PDX-1,Pacific Lane,ocean,1807,2023-07-06,delivered,0
SHP-230696,2023-06-11,PDX-1,RNO-1,BlueRidge Freight,LTL,227,2023-06-20,delivered,0
SHP-230703,2023-06-11,RNO-1,CMH-1,SwiftParcel,parcel,2153,2023-06-16,delivered,0
SHP-230714,2023-06-17,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1149,2023-06-24,delivered,0
SHP-230725,2023-06-18,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1392,2023-07-01,delivered,0
SHP-230736,2023-06-18,Hangzhou CN,PDX-1,Pacific Lane,ocean,1770,2023-07-25,delivered,0
SHP-230743,2023-06-19,PDX-1,CMH-1,Pacific Lane,ocean,517,2023-07-24,delivered,0
SHP-230746,2023-06-24,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1509,2023-07-26,delivered,0
SHP-230757,2023-06-24,RNO-1,CMH-1,Pacific Lane,ocean,2478,2023-07-02,delivered,0
SHP-230764,2023-06-25,Monterrey MX,CMH-1,BlueRidge Freight,FTL,905,2023-07-04,delivered,0
SHP-230775,2023-06-26,PDX-1,RNO-1,SwiftParcel,parcel,1629,2023-07-02,delivered,0
SHP-230786,2023-06-27,Hangzhou CN,PDX-1,Pacific Lane,ocean,2170,2023-07-02,delivered,0
SHP-230797,2023-06-27,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,372,2023-07-07,delivered,0
SHP-230800,2023-06-30,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1289,2023-07-01,delivered,0
SHP-230811,2023-06-30,RNO-1,CMH-1,SwiftParcel,parcel,1544,2023-07-05,delivered,0
SHP-230818,2023-07-01,Hangzhou CN,PDX-1,Pacific Lane,ocean,1819,2023-08-09,delivered,0
SHP-230829,2023-07-02,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1651,2023-07-07,delivered,0
SHP-230836,2023-07-02,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1004,2023-07-07,delivered,0
SHP-230839,2023-07-05,PDX-1,CMH-1,BlueRidge Freight,FTL,623,2023-07-09,delivered,0
SHP-230850,2023-07-05,RNO-1,CMH-1,SwiftParcel,parcel,564,2023-07-09,delivered,0
SHP-230861,2023-07-07,PDX-1,CMH-1,Pacific Lane,ocean,363,2023-08-07,delivered,0
SHP-230864,2023-07-07,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,2126,2023-08-03,delivered,0
SHP-230871,2023-07-09,Hangzhou CN,PDX-1,Pacific Lane,ocean,933,2023-08-05,delivered,0
SHP-230878,2023-07-13,PDX-1,CMH-1,Pacific Lane,ocean,385,2023-08-20,delivered,0
SHP-230881,2023-07-13,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1293,2023-07-17,delivered,0
SHP-230888,2023-07-14,Hangzhou CN,PDX-1,Pacific Lane,ocean,2480,2023-08-10,delivered,0
SHP-230899,2023-07-14,PDX-1,RNO-1,BlueRidge Freight,LTL,601,2023-07-23,delivered,0
SHP-230910,2023-07-18,PDX-1,CMH-1,BlueRidge Freight,FTL,2579,2023-07-25,delivered,0
SHP-230913,2023-07-22,Monterrey MX,CMH-1,BlueRidge Freight,FTL,2513,2023-07-28,delivered,0
SHP-230920,2023-07-22,PDX-1,RNO-1,BlueRidge Freight,FTL,329,2023-07-27,delivered,0
SHP-230923,2023-07-26,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1620,2023-08-27,delivered,0
SHP-230930,2023-07-28,PDX-1,CMH-1,BlueRidge Freight,FTL,1947,2023-08-06,delivered,0
SHP-230937,2023-07-29,PDX-1,RNO-1,BlueRidge Freight,LTL,2112,2023-08-09,delivered,0
SHP-230940,2023-08-03,PDX-1,CMH-1,Pacific Lane,ocean,2414,2023-08-26,delivered,0
SHP-230947,2023-08-03,Shenzhen CN,PDX-1,Pacific Lane,ocean,1015,2023-09-14,delivered,0
SHP-230958,2023-08-04,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,395,2023-08-09,delivered,0
SHP-230965,2023-08-04,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,702,2023-08-08,delivered,0
SHP-230972,2023-08-09,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,390,2023-09-19,delivered,0
SHP-230979,2023-08-09,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,2596,2023-09-18,delivered,0
SHP-230986,2023-08-10,PDX-1,CMH-1,SwiftParcel,parcel,2048,2023-08-14,delivered,0
SHP-230997,2023-08-11,Shenzhen CN,PDX-1,Pacific Lane,ocean,2205,2023-09-09,delivered,0
SHP-231000,2023-08-11,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1972,2023-09-22,delivered,0
SHP-231003,2023-08-12,PDX-1,CMH-1,Pacific Lane,ocean,1327,2023-09-14,delivered,0
SHP-231006,2023-08-12,PDX-1,RNO-1,BlueRidge Freight,LTL,2417,2023-08-17,delivered,0
SHP-231009,2023-08-13,RNO-1,CMH-1,BlueRidge Freight,LTL,336,2023-08-18,delivered,0
SHP-231012,2023-08-13,RNO-1,CMH-1,SwiftParcel,parcel,1426,2023-08-17,delivered,0
SHP-231019,2023-08-15,PDX-1,CMH-1,BlueRidge Freight,LTL,523,2023-08-20,delivered,0
SHP-231026,2023-08-16,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1796,2023-08-22,delivered,0
SHP-231029,2023-08-16,Hangzhou CN,PDX-1,Pacific Lane,ocean,2160,2023-09-17,delivered,0
SHP-231036,2023-08-18,Monterrey MX,CMH-1,BlueRidge Freight,FTL,265,2023-08-22,delivered,0
SHP-231047,2023-08-18,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1099,2023-08-25,delivered,0
SHP-231058,2023-08-19,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1108,2023-08-24,delivered,0
SHP-231065,2023-08-20,PDX-1,CMH-1,BlueRidge Freight,FTL,1577,2023-08-24,delivered,0
SHP-231076,2023-08-23,Shenzhen CN,PDX-1,Pacific Lane,ocean,1109,2023-09-27,delivered,0
SHP-231079,2023-08-24,PDX-1,CMH-1,Pacific Lane,ocean,2377,2023-09-28,delivered,0
SHP-231090,2023-08-24,RNO-1,CMH-1,BlueRidge Freight,FTL,199,2023-08-28,delivered,0
SHP-231093,2023-08-26,Monterrey MX,CMH-1,BlueRidge Freight,FTL,69,2023-09-02,delivered,0
SHP-231096,2023-08-27,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1177,2023-09-04,delivered,0
SHP-231099,2023-08-29,Monterrey MX,CMH-1,BlueRidge Freight,FTL,2100,2023-09-06,delivered,0
SHP-231106,2023-09-01,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,915,2023-10-04,delivered,0
SHP-231113,2023-09-05,Hangzhou CN,PDX-1,Pacific Lane,ocean,121,2023-10-08,delivered,0
SHP-231124,2023-09-06,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,2267,2023-09-10,delivered,0
SHP-231131,2023-09-06,PDX-1,CMH-1,SwiftParcel,parcel,1558,2023-09-09,delivered,0
SHP-231142,2023-09-07,PDX-1,RNO-1,BlueRidge Freight,FTL,2306,2023-09-14,delivered,0
SHP-231145,2023-09-08,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1965,2023-10-19,delivered,0
SHP-231152,2023-09-08,Shenzhen CN,PDX-1,Pacific Lane,ocean,2275,2023-10-07,delivered,0
SHP-231159,2023-09-09,Shenzhen CN,PDX-1,Pacific Lane,ocean,2185,2023-10-09,delivered,0
SHP-231170,2023-09-09,PDX-1,CMH-1,Pacific Lane,ocean,381,2023-10-20,delivered,0
SHP-231173,2023-09-13,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,2335,2023-09-19,delivered,0
SHP-231180,2023-09-14,Monterrey MX,CMH-1,BlueRidge Freight,FTL,878,2023-09-18,delivered,0
SHP-231191,2023-09-17,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1804,2023-09-22,delivered,0
SHP-231198,2023-09-19,PDX-1,RNO-1,Pacific Lane,ocean,773,2023-10-20,delivered,0
SHP-231201,2023-09-20,PDX-1,RNO-1,BlueRidge Freight,FTL,926,2023-09-27,delivered,0
SHP-231212,2023-09-20,Hangzhou CN,PDX-1,Pacific Lane,ocean,1467,2023-10-16,delivered,0
SHP-231215,2023-09-23,PDX-1,CMH-1,BlueRidge Freight,LTL,1598,2023-10-04,delivered,0
SHP-231222,2023-09-23,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,2478,2023-10-06,delivered,0
SHP-231233,2023-09-27,Shenzhen CN,PDX-1,Pacific Lane,ocean,1403,2023-10-26,delivered,0
SHP-231244,2023-09-27,RNO-1,CMH-1,SwiftParcel,parcel,2430,2023-10-04,delivered,0
SHP-231247,2023-09-29,PDX-1,RNO-1,BlueRidge Freight,LTL,481,2023-10-06,delivered,0
SHP-231258,2023-09-29,PDX-1,CMH-1,Pacific Lane,ocean,1417,2023-10-08,delivered,0
SHP-231265,2023-09-30,RNO-1,CMH-1,Pacific Lane,ocean,136,2023-10-12,delivered,0
SHP-231272,2023-09-30,Hangzhou CN,PDX-1,Pacific Lane,ocean,988,2023-10-03,delivered,0
SHP-231283,2023-10-05,Hangzhou CN,PDX-1,Pacific Lane,ocean,536,2023-11-14,delivered,0
SHP-231290,2023-10-07,Hangzhou CN,PDX-1,Pacific Lane,ocean,1858,2023-11-02,delivered,0
SHP-231293,2023-10-09,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,2113,2023-10-16,delivered,0
SHP-231304,2023-10-09,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1438,2023-10-14,delivered,0
SHP-231307,2023-10-10,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1711,2023-10-15,delivered,0
SHP-231310,2023-10-13,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,2455,2023-11-09,delivered,0
SHP-231313,2023-10-15,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,392,2023-10-22,delivered,0
SHP-231320,2023-10-15,PDX-1,CMH-1,SwiftParcel,parcel,1854,2023-10-19,delivered,0
SHP-231327,2023-10-16,PDX-1,CMH-1,BlueRidge Freight,LTL,2391,2023-10-23,delivered,0
SHP-231338,2023-10-16,RNO-1,CMH-1,BlueRidge Freight,LTL,2511,2023-10-22,delivered,0
SHP-231341,2023-10-18,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1473,2023-10-25,delivered,0
SHP-231348,2023-10-19,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,109,2023-10-24,delivered,0
SHP-231355,2023-10-19,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1867,2023-10-23,delivered,0
SHP-231362,2023-10-20,Monterrey MX,CMH-1,BlueRidge Freight,FTL,450,2023-10-27,delivered,0
SHP-231365,2023-10-21,Hangzhou CN,PDX-1,Pacific Lane,ocean,1923,2023-11-19,delivered,0
SHP-231376,2023-10-22,RNO-1,CMH-1,BlueRidge Freight,LTL,1320,2023-10-28,delivered,0
SHP-231387,2023-10-22,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1549,2023-11-20,delivered,0
SHP-231394,2023-10-24,Hangzhou CN,PDX-1,Pacific Lane,ocean,2063,2023-11-26,delivered,0
SHP-231401,2023-10-24,PDX-1,RNO-1,SwiftParcel,parcel,1649,2023-10-01,delivered,0
SHP-231412,2023-10-25,Hangzhou CN,PDX-1,Pacific Lane,ocean,2535,2023-11-07,delivered,0
SHP-231423,2023-10-25,Shenzhen CN,PDX-1,Pacific Lane,ocean,248,2023-11-25,delivered,0
SHP-231430,2023-10-27,Hangzhou CN,PDX-1,Pacific Lane,ocean,427,2023-11-07,delivered,0
SHP-231437,2023-10-27,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,553,2023-11-04,delivered,0
SHP-231448,2023-10-29,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,164,2023-11-10,delivered,0
SHP-231459,2023-11-07,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1647,2023-11-12,delivered,0
SHP-231466,2023-11-11,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,398,2023-12-12,delivered,0
SHP-231473,2023-11-13,PDX-1,CMH-1,Pacific Lane,ocean,122,2023-12-11,delivered,0
SHP-231476,2023-11-14,RNO-1,CMH-1,BlueRidge Freight,FTL,398,2023-11-18,delivered,0
SHP-231479,2023-11-15,PDX-1,CMH-1,SwiftParcel,parcel,860,2023-11-19,delivered,0
SHP-231486,2023-11-15,RNO-1,CMH-1,BlueRidge Freight,FTL,2317,2023-11-22,delivered,0
SHP-231493,2023-11-18,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1410,2023-11-25,delivered,0
SHP-231500,2023-11-18,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1434,2023-11-22,delivered,0
SHP-231503,2023-11-20,Shenzhen CN,PDX-1,Pacific Lane,ocean,137,2023-12-17,delivered,0
SHP-231514,2023-11-22,Hangzhou CN,PDX-1,Pacific Lane,ocean,408,2023-12-26,delivered,0
SHP-231521,2023-11-22,Hangzhou CN,PDX-1,Pacific Lane,ocean,1644,2023-12-03,delivered,0
SHP-231532,2023-11-23,Hangzhou CN,PDX-1,Pacific Lane,ocean,1054,2023-12-20,delivered,0
SHP-231543,2023-11-26,Monterrey MX,CMH-1,BlueRidge Freight,FTL,2159,2023-12-03,delivered,0
SHP-231550,2023-11-26,PDX-1,CMH-1,SwiftParcel,parcel,306,2023-12-03,delivered,0
SHP-231553,2023-11-27,RNO-1,CMH-1,BlueRidge Freight,FTL,871,2023-12-03,delivered,0
SHP-231560,2023-11-28,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,986,2023-12-04,delivered,0
SHP-231567,2023-11-30,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1978,2023-12-06,delivered,0
SHP-231570,2023-12-01,Shenzhen CN,PDX-1,Pacific Lane,ocean,389,2023-12-02,delivered,0
SHP-231573,2023-12-03,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1699,2023-12-13,delivered,0
SHP-231580,2023-12-04,RNO-1,CMH-1,BlueRidge Freight,FTL,1361,2023-12-10,delivered,0
SHP-231587,2023-12-07,Monterrey MX,CMH-1,BlueRidge Freight,FTL,993,2023-12-13,delivered,0
SHP-231598,2023-12-08,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,883,2023-12-15,delivered,0
SHP-231605,2023-12-08,PDX-1,RNO-1,Pacific Lane,ocean,1025,2023-12-19,delivered,0
SHP-231608,2023-12-09,Shenzhen CN,PDX-1,Pacific Lane,ocean,581,2023-12-18,delivered,0
SHP-231611,2023-12-10,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1378,2023-12-14,delivered,0
SHP-231622,2023-12-10,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,886,2023-12-16,delivered,0
SHP-231625,2023-12-13,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,251,2023-12-19,delivered,0
SHP-231636,2023-12-17,RNO-1,CMH-1,Pacific Lane,ocean,1111,2023-12-20,delivered,0
SHP-231643,2023-12-19,PDX-1,CMH-1,BlueRidge Freight,LTL,1204,2023-12-26,delivered,0
SHP-231650,2023-12-19,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,558,2023-12-23,delivered,0
SHP-231661,2023-12-20,RNO-1,CMH-1,BlueRidge Freight,LTL,791,2023-12-26,delivered,0
SHP-231664,2023-12-20,PDX-1,RNO-1,BlueRidge Freight,LTL,407,2023-12-27,delivered,0
SHP-231675,2023-12-23,Hangzhou CN,PDX-1,Pacific Lane,ocean,1141,2023-12-27,delivered,0
SHP-231678,2023-12-23,Shenzhen CN,PDX-1,Pacific Lane,ocean,1440,2023-12-19,delivered,0
SHP-231689,2023-12-25,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1080,2023-12-04,delivered,0
SHP-231696,2023-12-25,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,759,2023-12-01,delivered,0
SHP-231699,2023-12-26,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1020,2023-12-04,delivered,0
SHP-231702,2023-12-27,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,2283,2023-12-07,delivered,0
SHP-231705,2023-12-27,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,2139,2023-12-27,delivered,0
SHP-231712,2023-12-28,Hangzhou CN,PDX-1,Pacific Lane,ocean,522,2023-12-27,delivered,0
SHP-231723,2023-12-29,RNO-1,CMH-1,BlueRidge Freight,LTL,1359,2023-12-09,delivered,0
