dc,sku,on_hand,allocated,available,days_of_supply,status
CMH-1,SKU-1342,557,17,540,28.6,ok
PDX-1,SKU-1353,826,95,731,73.8,ok
RNO-1,SKU-1353,29,23,6,1.6,reorder
CMH-1,SKU-1353,97,41,56,2.9,reorder
PDX-1,SKU-1360,304,148,156,5.3,reorder
RNO-1,SKU-1360,190,150,40,4.8,reorder
CMH-1,SKU-1360,764,207,557,55.6,ok
PDX-1,SKU-1367,190,178,12,0.9,reorder
RNO-1,SKU-1367,532,134,398,18.2,ok
CMH-1,SKU-1367,859,44,815,73.5,ok
PDX-1,SKU-1374,277,206,71,5.6,reorder
RNO-1,SKU-1374,804,156,648,22.2,ok
CMH-1,SKU-1374,583,242,341,142.6,overstock
PDX-1,SKU-1385,325,10,315,18.6,ok
RNO-1,SKU-1385,348,202,146,24.8,ok
CMH-1,SKU-1385,159,147,12,5.2,reorder
PDX-1,SKU-1392,478,287,191,6.9,reorder
RNO-1,SKU-1392,140,44,96,10.0,ok
CMH-1,SKU-1392,185,96,89,3.7,reorder
PDX-1,SKU-1405,60,43,17,2.2,reorder
RNO-1,SKU-1405,533,9,524,98.0,overstock
CMH-1,SKU-1405,530,111,419,14.5,ok
PDX-1,SKU-1416,437,286,151,11.9,ok
RNO-1,SKU-1416,28,11,17,0.6,reorder
CMH-1,SKU-1416,415,203,212,9.2,ok
PDX-1,SKU-1423,615,7,608,52.6,ok
RNO-1,SKU-1423,282,208,74,27.8,ok
CMH-1,SKU-1423,134,98,36,1.2,reorder
PDX-1,SKU-1430,476,258,218,8.3,ok
RNO-1,SKU-1430,67,39,28,1.0,reorder
CMH-1,SKU-1430,494,236,258,11.7,ok
PDX-1,SKU-1441,177,66,111,4.4,reorder
RNO-1,SKU-1441,678,115,563,38.6,ok
CMH-1,SKU-1441,703,21,682,24.8,ok
PDX-1,SKU-1454,882,205,677,23.0,ok
RNO-1,SKU-1454,566,241,325,11.2,ok
CMH-1,SKU-1454,878,146,732,62.7,ok
PDX-1,SKU-1467,684,69,615,51.5,ok
RNO-1,SKU-1467,330,127,203,8.8,ok
CMH-1,SKU-1467,468,1,467,21.6,ok
PDX-1,SKU-1478,627,107,520,104.8,overstock
RNO-1,SKU-1478,515,15,500,18.9,ok
CMH-1,SKU-1478,314,188,126,6.5,reorder
PDX-1,SKU-1485,517,1,516,20.4,ok
RNO-1,SKU-1485,453,215,238,33.2,ok
CMH-1,SKU-1485,740,282,458,59.9,ok
PDX-1,SKU-1492,345,268,77,4.2,reorder
RNO-1,SKU-1492,848,73,775,30.6,ok
CMH-1,SKU-1492,822,36,786,173.4,overstock
PDX-1,SKU-1503,578,102,476,24.4,ok
RNO-1,SKU-1503,729,117,612,35.5,ok
CMH-1,SKU-1503,716,290,426,14.6,ok
PDX-1,SKU-1510,876,18,858,75.7,ok
RNO-1,SKU-1510,449,280,169,9.5,ok
CMH-1,SKU-1510,435,252,183,38.5,ok
PDX-1,SKU-1517,490,124,366,18.8,ok
RNO-1,SKU-1517,614,19,595,39.2,ok
CMH-1,SKU-1517,805,139,666,28.9,ok
PDX-1,SKU-1524,147,105,42,1.8,reorder
RNO-1,SKU-1524,711,159,552,33.2,ok
CMH-1,SKU-1524,393,146,247,9.0,ok
PDX-1,SKU-1537,892,297,595,24.2,ok
RNO-1,SKU-1537,613,209,404,80.4,ok
CMH-1,SKU-1537,459,210,249,9.0,ok
PDX-1,SKU-1548,375,269,106,13.8,ok
RNO-1,SKU-1548,280,31,249,19.1,ok
CMH-1,SKU-1548,642,115,527,71.9,ok
PDX-1,SKU-1559,515,96,419,23.2,ok
RNO-1,SKU-1559,846,90,756,55.9,ok
CMH-1,SKU-1559,132,60,72,3.4,reorder
PDX-1,SKU-1572,410,77,333,17.1,ok
RNO-1,SKU-1572,582,25,557,39.2,ok
CMH-1,SKU-1572,714,3,711,49.9,ok
PDX-1,SKU-1579,398,184,214,60.2,ok
RNO-1,SKU-1579,175,169,6,0.3,reorder
CMH-1,SKU-1579,843,211,632,33.7,ok
PDX-1,SKU-1586,833,230,603,20.5,ok
RNO-1,SKU-1586,131,21,110,5.5,reorder
CMH-1,SKU-1586,422,4,418,29.5,ok
PDX-1,SKU-1597,838,173,665,27.2,ok
RNO-1,SKU-1597,177,23,154,10.0,ok
CMH-1,SKU-1597,821,271,550,36.0,ok
PDX-1,SKU-1604,205,39,166,6.1,reorder
RNO-1,SKU-1604,17,16,1,0.0,reorder
CMH-1,SKU-1604,41,37,4,0.3,reorder
