order_id,order_date,customer_segment,dc,lines,units,value_usd,promised_date,shipped_date,on_time
ORD-50168,2024-01-15,independent,PDX-1,10,280,15346,2024-01-20,2024-01-21,no
ORD-50170,2024-01-15,ecommerce,CMH-1,2,48,940,2024-01-18,2024-01-18,yes
ORD-50173,2024-01-15,b2b-direct,RNO-1,12,228,2388,2024-01-18,2024-01-18,yes
ORD-50174,2024-01-15,retail-chain,RNO-1,8,160,4801,2024-01-21,2024-01-23,no
ORD-50176,2024-01-16,ecommerce,RNO-1,9,72,2691,2024-01-22,2024-01-22,yes
ORD-50177,2024-01-16,independent,RNO-1,7,175,5183,2024-01-19,2024-01-23,no
ORD-50178,2024-01-16,b2b-direct,RNO-1,8,280,4254,2024-01-20,2024-01-24,no
ORD-50181,2024-01-16,independent,CMH-1,12,84,916,2024-01-19,2024-01-19,yes
ORD-50184,2024-01-17,b2b-direct,CMH-1,6,168,8513,2024-01-21,2024-01-21,yes
ORD-50185,2024-01-17,ecommerce,CMH-1,2,44,1718,2024-01-21,2024-01-22,no
ORD-50187,2024-01-17,independent,CMH-1,3,9,279,2024-01-20,2024-01-20,yes
ORD-50189,2024-01-17,independent,CMH-1,9,45,1406,2024-01-20,2024-01-20,yes
ORD-50192,2024-01-17,retail-chain,CMH-1,12,156,4586,2024-01-22,2024-01-22,yes
ORD-50193,2024-01-17,independent,RNO-1,10,290,7645,2024-01-20,2024-01-20,yes
ORD-50195,2024-01-18,retail-chain,CMH-1,3,87,4254,2024-01-23,2024-01-23,yes
ORD-50198,2024-01-18,b2b-direct,CMH-1,4,24,237,2024-01-21,2024-01-21,yes
ORD-50199,2024-01-18,b2b-direct,PDX-1,6,132,3132,2024-01-21,2024-01-21,yes
ORD-50202,2024-01-18,retail-chain,PDX-1,7,140,2786,2024-01-23,2024-01-23,yes
ORD-50204,2024-01-19,retail-chain,RNO-1,12,156,3964,2024-01-23,2024-01-23,yes
ORD-50205,2024-01-19,ecommerce,PDX-1,9,153,6811,2024-01-23,2024-01-23,yes
ORD-50208,2024-01-19,independent,CMH-1,12,468,13132,2024-01-23,2024-01-23,yes
ORD-50209,2024-01-19,independent,PDX-1,1,19,644,2024-01-25,2024-01-26,no
ORD-50211,2024-01-19,retail-chain,CMH-1,9,54,775,2024-01-25,2024-01-01,no
ORD-50213,2024-01-19,ecommerce,PDX-1,4,140,3192,2024-01-23,2024-01-23,yes
ORD-50216,2024-01-19,independent,CMH-1,9,207,6067,2024-01-24,2024-01-25,no
ORD-50218,2024-01-19,ecommerce,RNO-1,5,145,3222,2024-01-22,2024-01-22,yes
ORD-50219,2024-01-20,ecommerce,PDX-1,9,63,3158,2024-01-26,2024-01-26,yes
ORD-50221,2024-01-20,b2b-direct,PDX-1,10,100,4814,2024-01-26,2024-01-28,no
ORD-50223,2024-01-20,independent,RNO-1,14,140,3314,2024-01-24,2024-01-24,yes
ORD-50226,2024-01-20,retail-chain,RNO-1,6,30,1077,2024-01-24,2024-01-28,no
ORD-50229,2024-01-20,ecommerce,PDX-1,14,98,1352,2024-01-24,2024-01-24,yes
ORD-50230,2024-01-20,independent,PDX-1,6,90,2275,2024-01-23,2024-01-23,yes
ORD-50233,2024-01-20,b2b-direct,RNO-1,6,72,2716,2024-01-25,2024-01-27,no
ORD-50236,2024-01-21,ecommerce,CMH-1,8,288,2623,2024-01-25,2024-01-25,yes
ORD-50239,2024-01-21,ecommerce,PDX-1,10,140,4953,2024-01-25,2024-01-01,no
ORD-50242,2024-01-21,independent,PDX-1,1,38,742,2024-01-24,2024-01-25,no
ORD-50243,2024-01-21,ecommerce,PDX-1,1,19,595,2024-01-25,2024-01-25,yes
ORD-50244,2024-01-21,ecommerce,RNO-1,1,11,181,2024-01-25,2024-01-25,yes
ORD-50247,2024-01-21,ecommerce,PDX-1,7,126,2279,2024-01-24,2024-01-24,yes
ORD-50248,2024-01-21,retail-chain,CMH-1,4,28,526,2024-01-26,2024-02-02,no
ORD-50249,2024-01-22,b2b-direct,PDX-1,9,351,7319,2024-01-25,2024-01-27,no
ORD-50251,2024-01-22,b2b-direct,RNO-1,4,120,2791,2024-01-26,2024-01-28,no
ORD-50254,2024-01-22,b2b-direct,RNO-1,2,10,100,2024-01-25,2024-01-27,no
ORD-50257,2024-01-23,retail-chain,PDX-1,2,12,643,2024-01-27,2024-02-03,no
ORD-50260,2024-01-23,retail-chain,PDX-1,12,264,6841,2024-01-26,2024-01-26,yes
ORD-50263,2024-01-23,independent,CMH-1,14,504,21196,2024-01-27,2024-01-01,no
ORD-50265,2024-01-23,b2b-direct,CMH-1,7,245,6938,2024-01-01,2024-01-01,yes
ORD-50267,2024-01-23,b2b-direct,PDX-1,11,363,18665,2024-01-26,2024-01-28,no
ORD-50270,2024-01-23,retail-chain,CMH-1,14,532,25149,2024-01-27,2024-01-27,yes
ORD-50271,2024-01-23,ecommerce,RNO-1,5,140,6760,2024-01-28,2024-01-28,yes
ORD-50272,2024-01-24,ecommerce,RNO-1,3,21,294,2024-01-27,2024-01-28,no
ORD-50273,2024-01-24,ecommerce,PDX-1,6,24,693,2024-02-02,2024-02-02,yes
ORD-50274,2024-01-24,retail-chain,RNO-1,7,196,2280,2024-01-27,2024-01-27,yes
ORD-50276,2024-01-24,b2b-direct,CMH-1,11,110,3196,2024-01-28,2024-01-28,yes
ORD-50277,2024-01-24,b2b-direct,CMH-1,6,168,7597,2024-02-02,2024-02-02,yes
ORD-50278,2024-01-24,independent,CMH-1,4,124,3890,2024-01-28,2024-01-28,yes
ORD-50280,2024-01-24,ecommerce,CMH-1,13,65,1817,2024-01-28,2024-01-28,yes
ORD-50283,2024-01-25,ecommerce,RNO-1,13,455,13526,2024-01-01,2024-01-01,yes
ORD-50286,2024-01-25,retail-chain,PDX-1,12,444,11060,2024-01-01,2024-01-01,yes
ORD-50288,2024-01-25,ecommerce,PDX-1,11,187,7850,2024-01-28,2024-02-04,no
ORD-50289,2024-01-26,ecommerce,RNO-1,2,8,380,2024-02-03,2024-02-07,no
ORD-50292,2024-01-26,independent,PDX-1,3,105,5259,2024-01-01,2024-01-01,yes
ORD-50294,2024-01-26,ecommerce,PDX-1,1,16,723,2024-02-02,2024-02-03,no
ORD-50296,2024-01-26,independent,CMH-1,6,180,8705,2024-02-03,2024-02-05,no
ORD-50299,2024-01-26,b2b-direct,RNO-1,9,189,2298,2024-02-02,2024-02-02,yes
ORD-50302,2024-01-26,independent,PDX-1,2,30,675,2024-02-02,2024-02-02,yes
ORD-50304,2024-01-26,b2b-direct,PDX-1,11,341,17095,2024-02-04,2024-02-08,no
ORD-50305,2024-01-26,independent,PDX-1,1,35,1166,2024-02-02,2024-02-02,yes
ORD-50306,2024-01-27,retail-chain,RNO-1,6,126,3846,2024-02-03,2024-02-07,no
ORD-50309,2024-01-27,independent,RNO-1,8,16,522,2024-02-03,2024-02-03,yes
ORD-50310,2024-01-27,b2b-direct,RNO-1,2,56,646,2024-02-02,2024-02-02,yes
ORD-50311,2024-01-27,ecommerce,CMH-1,10,230,6029,2024-02-03,2024-02-03,yes
ORD-50312,2024-01-27,ecommerce,CMH-1,9,243,10715,2024-02-02,2024-02-02,yes
ORD-50313,2024-01-27,b2b-direct,RNO-1,4,16,522,2024-02-02,2024-02-02,yes
ORD-50316,2024-01-27,retail-chain,RNO-1,6,36,1876,2024-02-04,2024-02-04,yes
ORD-50317,2024-01-27,ecommerce,CMH-1,6,72,898,2024-02-04,2024-02-04,yes
ORD-50320,2024-01-28,retail-chain,CMH-1,12,252,10382,2024-02-03,2024-02-03,yes
ORD-50321,2024-01-28,retail-chain,RNO-1,1,8,226,2024-02-03,2024-02-05,no
ORD-50323,2024-01-28,b2b-direct,RNO-1,3,75,1869,2024-02-05,2024-02-06,no
ORD-50325,2024-01-29,b2b-direct,RNO-1,14,84,3981,2024-02-05,2024-02-05,yes
ORD-50326,2024-01-29,independent,RNO-1,7,42,408,2024-02-05,2024-02-05,yes
ORD-50329,2024-01-29,independent,PDX-1,8,168,6834,2024-02-05,2024-02-07,no
ORD-50330,2024-01-29,independent,RNO-1,2,24,331,2024-02-04,2024-02-04,yes
ORD-50332,2024-01-29,ecommerce,CMH-1,8,256,3263,2024-02-05,2024-02-05,yes
ORD-50335,2024-01-29,independent,CMH-1,1,11,578,2024-02-04,2024-02-04,yes
ORD-50337,2024-01-30,independent,RNO-1,14,112,3991,2024-02-05,2024-02-09,no
ORD-50339,2024-01-30,b2b-direct,PDX-1,12,456,10900,2024-02-08,2024-02-10,no
ORD-50342,2024-01-30,b2b-direct,PDX-1,7,147,3917,2024-02-08,2024-02-09,no
ORD-50345,2024-01-30,retail-chain,PDX-1,6,12,187,2024-02-06,2024-02-07,no
ORD-50347,2024-01-31,retail-chain,RNO-1,6,186,9790,2024-02-06,2024-02-06,yes
ORD-50348,2024-01-31,ecommerce,CMH-1,13,273,10308,2024-02-07,2024-02-07,yes
ORD-50349,2024-01-31,ecommerce,RNO-1,10,70,1487,2024-02-09,2024-02-09,yes
ORD-50352,2024-02-01,ecommerce,RNO-1,4,8,202,2024-02-07,2024-02-07,yes
ORD-50353,2024-02-01,independent,PDX-1,13,494,9306,2024-02-05,2024-02-05,yes
ORD-50355,2024-02-01,independent,RNO-1,9,360,14174,2024-02-04,2024-02-05,no
ORD-50357,2024-02-01,independent,RNO-1,1,11,506,2024-02-06,2024-02-07,no
ORD-50359,2024-02-01,independent,CMH-1,10,70,970,2024-02-05,2024-02-05,yes
ORD-50361,2024-02-02,ecommerce,PDX-1,14,252,11735,2024-02-05,2024-02-05,yes
ORD-50363,2024-02-02,b2b-direct,PDX-1,12,120,1295,2024-02-06,2024-02-07,no
ORD-50366,2024-02-02,independent,CMH-1,5,130,2930,2024-02-05,2024-02-05,yes
ORD-50368,2024-02-02,b2b-direct,CMH-1,7,147,7915,2024-02-08,2024-02-08,yes
ORD-50370,2024-02-02,retail-chain,RNO-1,1,12,600,2024-02-05,2024-02-05,yes
ORD-50372,2024-02-02,retail-chain,CMH-1,3,18,388,2024-02-05,2024-02-05,yes
ORD-50374,2024-02-02,b2b-direct,CMH-1,8,288,9919,2024-02-08,2024-02-08,yes
ORD-50375,2024-02-03,independent,PDX-1,14,252,4522,2024-02-07,2024-02-07,yes
ORD-50376,2024-02-03,ecommerce,RNO-1,14,224,4951,2024-02-07,2024-02-09,no
ORD-50377,2024-02-03,retail-chain,PDX-1,5,10,202,2024-02-08,2024-02-08,yes
ORD-50379,2024-02-04,retail-chain,PDX-1,13,273,12921,2024-02-08,2024-02-08,yes
ORD-50382,2024-02-04,ecommerce,RNO-1,9,198,7241,2024-02-10,2024-02-10,yes
ORD-50384,2024-02-04,b2b-direct,RNO-1,9,360,8813,2024-02-08,2024-02-09,no
ORD-50386,2024-02-04,ecommerce,CMH-1,12,336,17830,2024-02-10,2024-02-10,yes
ORD-50387,2024-02-04,independent,RNO-1,13,65,3218,2024-02-07,2024-02-07,yes
ORD-50389,2024-02-05,ecommerce,RNO-1,14,532,10327,2024-02-11,2024-02-11,yes
ORD-50391,2024-02-05,b2b-direct,CMH-1,10,30,611,2024-02-08,2024-02-08,yes
ORD-50392,2024-02-05,retail-chain,RNO-1,2,8,249,2024-02-08,2024-02-08,yes
ORD-50395,2024-02-06,retail-chain,CMH-1,12,276,5190,2024-02-10,2024-02-10,yes
ORD-50398,2024-02-06,independent,PDX-1,7,210,2404,2024-02-11,2024-02-12,no
ORD-50400,2024-02-06,retail-chain,RNO-1,6,216,9801,2024-02-12,2024-02-12,yes
ORD-50401,2024-02-06,ecommerce,CMH-1,12,468,12258,2024-02-09,2024-02-09,yes
ORD-50403,2024-02-07,ecommerce,RNO-1,3,21,726,2024-02-10,2024-02-10,yes
ORD-50406,2024-02-07,b2b-direct,PDX-1,1,19,255,2024-02-13,2024-02-15,no
ORD-50407,2024-02-07,ecommerce,CMH-1,12,60,724,2024-02-11,2024-02-11,yes
ORD-50408,2024-02-07,ecommerce,PDX-1,9,297,5346,2024-02-11,2024-02-11,yes
ORD-50410,2024-02-07,retail-chain,PDX-1,1,28,1419,2024-02-12,2024-02-14,no
ORD-50411,2024-02-08,b2b-direct,CMH-1,10,360,6945,2024-02-12,2024-02-14,no
ORD-50412,2024-02-08,independent,RNO-1,7,112,5250,2024-02-12,2024-02-12,yes
ORD-50413,2024-02-08,ecommerce,CMH-1,2,4,71,2024-02-12,2024-02-12,yes
ORD-50414,2024-02-08,ecommerce,CMH-1,1,38,676,2024-02-11,2024-02-12,no
ORD-50416,2024-02-08,ecommerce,PDX-1,8,200,6628,2024-02-12,2024-02-12,yes
ORD-50417,2024-02-08,ecommerce,PDX-1,5,105,4467,2024-02-13,2024-02-13,yes
ORD-50419,2024-02-08,ecommerce,CMH-1,11,275,12441,2024-02-11,2024-02-13,no
ORD-50422,2024-02-09,ecommerce,CMH-1,7,119,6210,2024-02-15,2024-02-17,no
ORD-50423,2024-02-09,independent,RNO-1,1,12,186,2024-02-12,2024-02-12,yes
ORD-50426,2024-02-09,independent,PDX-1,1,39,716,2024-02-13,2024-02-15,no
ORD-50427,2024-02-09,ecommerce,PDX-1,5,185,7061,2024-02-13,2024-02-13,yes
ORD-50430,2024-02-09,b2b-direct,CMH-1,13,416,19014,2024-02-13,2024-02-15,no
ORD-50433,2024-02-09,b2b-direct,CMH-1,12,384,7657,2024-02-12,2024-02-12,yes
ORD-50435,2024-02-10,b2b-direct,RNO-1,9,261,12927,2024-02-14,2024-02-14,yes
ORD-50437,2024-02-10,ecommerce,RNO-1,1,34,1121,2024-02-13,2024-02-14,no
ORD-50440,2024-02-10,b2b-direct,PDX-1,6,234,4281,2024-02-16,2024-02-16,yes
ORD-50442,2024-02-11,ecommerce,PDX-1,4,92,1220,2024-02-17,2024-02-19,no
ORD-50443,2024-02-11,b2b-direct,CMH-1,7,119,3969,2024-02-14,2024-02-14,yes
ORD-50445,2024-02-11,ecommerce,CMH-1,5,90,4028,2024-02-17,2024-02-17,yes
ORD-50446,2024-02-12,ecommerce,PDX-1,3,30,1213,2024-02-15,2024-02-15,yes
ORD-50449,2024-02-12,retail-chain,PDX-1,13,325,16754,2024-02-15,2024-02-17,no
ORD-50452,2024-02-12,independent,PDX-1,11,187,10067,2024-02-16,2024-02-18,no
ORD-50455,2024-02-12,b2b-direct,RNO-1,2,8,305,2024-02-16,2024-02-16,yes
ORD-50456,2024-02-12,ecommerce,PDX-1,10,330,16857,2024-02-15,2024-02-15,yes
ORD-50457,2024-02-12,ecommerce,CMH-1,7,238,9903,2024-02-15,2024-02-15,yes
ORD-50458,2024-02-12,ecommerce,CMH-1,3,81,2522,2024-02-16,2024-02-16,yes
ORD-50461,2024-02-13,independent,CMH-1,6,66,3349,2024-02-16,2024-02-16,yes
ORD-50462,2024-02-13,retail-chain,RNO-1,8,72,3768,2024-02-16,2024-02-16,yes
ORD-50465,2024-02-13,b2b-direct,PDX-1,11,385,10177,2024-02-16,2024-02-17,no
ORD-50466,2024-02-13,b2b-direct,RNO-1,9,90,4375,2024-02-16,2024-02-16,yes
ORD-50467,2024-02-13,b2b-direct,PDX-1,1,3,80,2024-02-17,2024-02-21,no
ORD-50470,2024-02-14,ecommerce,CMH-1,9,72,1990,2024-02-17,2024-02-17,yes
ORD-50471,2024-02-14,retail-chain,PDX-1,5,100,4722,2024-02-18,2024-02-19,no
ORD-50473,2024-02-14,ecommerce,CMH-1,1,19,427,2024-02-20,2024-02-20,yes
ORD-50475,2024-02-15,retail-chain,RNO-1,5,20,407,2024-02-21,2024-02-21,yes
ORD-50476,2024-02-15,independent,CMH-1,13,52,2103,2024-02-18,2024-02-18,yes
ORD-50478,2024-02-15,independent,RNO-1,3,78,4204,2024-02-20,2024-02-20,yes
ORD-50479,2024-02-15,retail-chain,PDX-1,6,186,5643,2024-02-19,2024-02-20,no
ORD-50480,2024-02-15,independent,PDX-1,11,396,17072,2024-02-19,2024-02-20,no
ORD-50483,2024-02-15,independent,CMH-1,8,112,1613,2024-02-21,2024-02-21,yes
ORD-50484,2024-02-16,retail-chain,CMH-1,3,108,3210,2024-02-19,2024-02-19,yes
ORD-50486,2024-02-16,retail-chain,CMH-1,9,207,10963,2024-02-20,2024-02-22,no
ORD-50489,2024-02-16,ecommerce,PDX-1,13,416,19482,2024-02-20,2024-02-20,yes
ORD-50492,2024-02-16,retail-chain,RNO-1,13,286,13773,2024-02-21,2024-02-21,yes
ORD-50494,2024-02-16,b2b-direct,RNO-1,8,64,2192,2024-02-19,2024-02-19,yes
ORD-50497,2024-02-16,retail-chain,PDX-1,11,121,4094,2024-02-21,2024-02-21,yes
ORD-50500,2024-02-17,b2b-direct,RNO-1,11,308,10012,2024-02-21,2024-02-21,yes
ORD-50501,2024-02-17,retail-chain,RNO-1,9,216,10549,2024-02-23,2024-02-23,yes
ORD-50504,2024-02-17,b2b-direct,CMH-1,6,180,9511,2024-02-20,2024-02-22,no
ORD-50506,2024-02-18,ecommerce,PDX-1,14,504,8212,2024-02-24,2024-02-24,yes
ORD-50509,2024-02-18,independent,CMH-1,3,108,4545,2024-02-23,2024-02-24,no
ORD-50511,2024-02-18,b2b-direct,RNO-1,14,252,12762,2024-02-21,2024-02-23,no
ORD-50514,2024-02-18,ecommerce,PDX-1,1,39,1872,2024-02-21,2024-02-21,yes
ORD-50516,2024-02-18,b2b-direct,RNO-1,14,392,21066,2024-02-21,2024-02-21,yes
ORD-50517,2024-02-18,retail-chain,CMH-1,4,44,2268,2024-02-21,2024-02-21,yes
ORD-50518,2024-02-18,retail-chain,PDX-1,1,40,444,2024-02-23,2024-02-24,no
ORD-50519,2024-02-19,b2b-direct,CMH-1,4,64,3494,2024-02-22,2024-02-23,no
ORD-50522,2024-02-19,b2b-direct,RNO-1,14,266,12853,2024-02-22,2024-02-24,no
ORD-50523,2024-02-19,retail-chain,CMH-1,7,84,1331,2024-02-22,2024-02-26,no
ORD-50525,2024-02-19,ecommerce,RNO-1,10,140,2569,2024-02-24,2024-02-24,yes
ORD-50526,2024-02-19,ecommerce,CMH-1,6,138,5796,2024-02-25,2024-02-27,no
ORD-50527,2024-02-20,retail-chain,CMH-1,7,63,2090,2024-02-23,2024-02-24,no
ORD-50530,2024-02-20,ecommerce,RNO-1,8,120,5187,2024-02-23,2024-02-23,yes
ORD-50531,2024-02-20,independent,RNO-1,14,476,11528,2024-02-25,2024-02-26,no
ORD-50534,2024-02-20,b2b-direct,CMH-1,6,48,1136,2024-02-26,2024-02-27,no
ORD-50535,2024-02-21,b2b-direct,PDX-1,4,140,3222,2024-02-27,2024-03-03,no
ORD-50537,2024-02-21,retail-chain,CMH-1,5,75,2433,2024-02-24,2024-02-24,yes
ORD-50538,2024-02-21,independent,PDX-1,2,22,481,2024-02-24,2024-02-24,yes
ORD-50541,2024-02-21,retail-chain,PDX-1,14,280,8497,2024-02-25,2024-02-25,yes
ORD-50542,2024-02-21,b2b-direct,RNO-1,3,75,2099,2024-02-24,2024-02-25,no
ORD-50544,2024-02-21,retail-chain,RNO-1,11,55,1539,2024-02-26,2024-02-26,yes
ORD-50545,2024-02-21,independent,CMH-1,3,21,418,2024-02-24,2024-02-28,no
ORD-50548,2024-02-21,retail-chain,RNO-1,12,168,4293,2024-02-24,2024-02-28,no
